#         Kad                 Kdiff                 eaa                 Krxn                theta_A                 t                  Nads                 Ndes                 Ndiff                Nrxn         
      1.00000000e+00       1.00000000e-03       0.00000000e+00       5.00000000e+00       2.03645945e-01       1.92555456e+03       6.13850000e+05       1.57457000e+05       5.01000000e+02       2.28192000e+05
      1.00000000e+00       1.61559810e-03       0.00000000e+00       5.00000000e+00       2.03922017e-01       1.92751555e+03       6.13823000e+05       1.56787000e+05       8.70000000e+02       2.28520000e+05
      1.00000000e+00       2.61015722e-03       0.00000000e+00       5.00000000e+00       2.03780081e-01       1.92197604e+03       6.13552000e+05       1.56712000e+05       1.32600000e+03       2.28410000e+05
      1.00000000e+00       4.21696503e-03       0.00000000e+00       5.00000000e+00       2.04029582e-01       1.92147716e+03       6.12655000e+05       1.57527000e+05       2.26100000e+03       2.27557000e+05
      1.00000000e+00       6.81292069e-03       0.00000000e+00       5.00000000e+00       2.04058112e-01       1.92200570e+03       6.12001000e+05       1.56731000e+05       3.63700000e+03       2.27631000e+05
      1.00000000e+00       1.10069417e-02       0.00000000e+00       5.00000000e+00       2.04037678e-01       1.91597630e+03       6.10778000e+05       1.56043000e+05       5.80900000e+03       2.27370000e+05
      1.00000000e+00       1.77827941e-02       0.00000000e+00       5.00000000e+00       2.03417612e-01       1.90904200e+03       6.08400000e+05       1.55705000e+05       9.55400000e+03       2.26341000e+05
      1.00000000e+00       2.87298483e-02       0.00000000e+00       5.00000000e+00       2.03280114e-01       1.89856986e+03       6.05026000e+05       1.54438000e+05       1.52440000e+04       2.25292000e+05
      1.00000000e+00       4.64158883e-02       0.00000000e+00       5.00000000e+00       2.02619828e-01       1.87952605e+03       5.99742000e+05       1.52474000e+05       2.41440000e+04       2.23640000e+05
      1.00000000e+00       7.49894209e-02       0.00000000e+00       5.00000000e+00       2.02097736e-01       1.85083578e+03       5.91289000e+05       1.49159000e+05       3.84830000e+04       2.21069000e+05
      1.00000000e+00       1.21152766e-01       0.00000000e+00       5.00000000e+00       2.00865318e-01       1.80899500e+03       5.78439000e+05       1.45183000e+05       5.97480000e+04       2.16630000e+05
      1.00000000e+00       1.95734178e-01       0.00000000e+00       5.00000000e+00       1.99772694e-01       1.74492633e+03       5.58499000e+05       1.39074000e+05       9.27120000e+04       2.09715000e+05
      1.00000000e+00       3.16227766e-01       0.00000000e+00       5.00000000e+00       1.97738814e-01       1.65212807e+03       5.29697000e+05       1.31300000e+05       1.39806000e+05       1.99197000e+05
      1.00000000e+00       5.10896977e-01       0.00000000e+00       5.00000000e+00       1.95855388e-01       1.52316546e+03       4.90119000e+05       1.18975000e+05       2.05334000e+05       1.85572000e+05
      1.00000000e+00       8.25404185e-01       0.00000000e+00       5.00000000e+00       1.93736983e-01       1.35475878e+03       4.37144000e+05       1.04994000e+05       2.91784000e+05       1.66078000e+05
      1.00000000e+00       1.33352143e+00       0.00000000e+00       5.00000000e+00       1.91814478e-01       1.15442051e+03       3.73562000e+05       8.82100000e+04       3.95559000e+05       1.42669000e+05
      1.00000000e+00       2.15443469e+00       0.00000000e+00       5.00000000e+00       1.88588539e-01       9.35974903e+02       3.03636000e+05       7.06160000e+04       5.09227000e+05       1.16521000e+05
      1.00000000e+00       3.48070059e+00       0.00000000e+00       5.00000000e+00       1.87232733e-01       7.18433681e+02       2.33622000e+05       5.36840000e+04       6.22727000e+05       8.99670000e+04
      1.00000000e+00       5.62341325e+00       0.00000000e+00       5.00000000e+00       1.86504064e-01       5.21012128e+02       1.70672000e+05       3.85070000e+04       7.24735000e+05       6.60860000e+04
      1.00000000e+00       9.08517576e+00       0.00000000e+00       5.00000000e+00       1.83862578e-01       3.65444222e+02       1.18437000e+05       2.69080000e+04       8.08894000e+05       4.57610000e+04
      1.00000000e+00       1.46779927e+01       0.00000000e+00       5.00000000e+00       1.82619881e-01       2.45526325e+02       8.01260000e+04       1.77430000e+04       8.70945000e+05       3.11860000e+04
      1.00000000e+00       2.37137371e+01       0.00000000e+00       5.00000000e+00       1.81611361e-01       1.60954304e+02       5.26610000e+04       1.16070000e+04       9.15204000e+05       2.05280000e+04
      1.00000000e+00       3.83118685e+01       0.00000000e+00       5.00000000e+00       1.80433157e-01       1.03682580e+02       3.38830000e+04       7.60500000e+03       9.45369000e+05       1.31430000e+04
      1.00000000e+00       6.18965819e+01       0.00000000e+00       5.00000000e+00       1.80662626e-01       6.55784601e+01       2.14620000e+04       4.75600000e+03       9.65435000e+05       8.34700000e+03
      1.00000000e+00       1.00000000e+02       0.00000000e+00       5.00000000e+00       1.80299854e-01       4.12492542e+01       1.34910000e+04       3.03700000e+03       9.78242000e+05       5.23000000e+03
