#         Kad                 Kdiff                 eaa                 Krxn                theta_A                 t                  Nads                 Ndes                 Ndiff                Nrxn         
      1.00000000e-02       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.45658687e-03       1.26333495e+06       5.00322700e+06       4.99031600e+06       0.00000000e+00       6.45700000e+03
      2.61015722e-02       0.00000000e+00       1.00000000e+00       2.00855369e+01       2.28001582e-02       4.90700618e+05       5.00757400e+06       4.97727800e+06       0.00000000e+00       1.51480000e+04
      6.81292069e-02       0.00000000e+00       1.00000000e+00       2.00855369e+01       4.99633899e-02       1.93691698e+05       5.01538000e+06       4.95386000e+06       0.00000000e+00       3.07600000e+04
      1.77827941e-01       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.52913504e-02       7.80636893e+04       5.02517600e+06       4.92447300e+06       0.00000000e+00       5.03510000e+04
      4.64158883e-01       0.00000000e+00       1.00000000e+00       2.00855369e+01       1.56840012e-01       3.21537641e+04       5.03123600e+06       4.90628600e+06       0.00000000e+00       6.24780000e+04
      1.21152766e+00       0.00000000e+00       1.00000000e+00       2.00855369e+01       2.31315969e-01       1.34939659e+04       5.02867100e+06       4.91398100e+06       0.00000000e+00       5.73480000e+04
      3.16227766e+00       0.00000000e+00       1.00000000e+00       2.00855369e+01       3.32902733e-01       5.94191566e+03       5.01566100e+06       4.95301800e+06       0.00000000e+00       3.13210000e+04
      8.25404185e+00       0.00000000e+00       1.00000000e+00       2.00855369e+01       4.40886709e-01       2.70924624e+03       5.00181500e+06       4.99456400e+06       0.00000000e+00       3.62100000e+03
      2.15443469e+01       0.00000000e+00       1.00000000e+00       2.00855369e+01       4.77084371e-01       1.10953360e+03       5.00038200e+06       4.99885300e+06       0.00000000e+00       7.65000000e+02
      5.62341325e+01       0.00000000e+00       1.00000000e+00       2.00855369e+01       4.91197116e-01       4.37212018e+02       5.00013800e+06       4.99958700e+06       0.00000000e+00       2.75000000e+02
      1.46779927e+02       0.00000000e+00       1.00000000e+00       2.00855369e+01       4.96974767e-01       1.69294300e+02       5.00008800e+06       4.99973700e+06       0.00000000e+00       1.75000000e+02
      3.83118685e+02       0.00000000e+00       1.00000000e+00       2.00855369e+01       4.99843147e-01       6.52156298e+01       5.00008200e+06       4.99975400e+06       0.00000000e+00       1.64000000e+02
      1.00000000e+03       0.00000000e+00       1.00000000e+00       2.00855369e+01       5.02578271e-01       2.51306229e+01       5.00006300e+06       4.99981000e+06       0.00000000e+00       1.27000000e+02
      2.61015722e+03       0.00000000e+00       1.00000000e+00       2.00855369e+01       5.07844473e-01       9.72612172e+00       5.00006000e+06       4.99982000e+06       0.00000000e+00       1.20000000e+02
      6.81292069e+03       0.00000000e+00       1.00000000e+00       2.00855369e+01       5.20781919e-01       3.82879324e+00       5.00006100e+06       4.99981300e+06       0.00000000e+00       1.26000000e+02
      1.77827941e+04       0.00000000e+00       1.00000000e+00       2.00855369e+01       5.55354373e-01       1.58111079e+00       5.00007300e+06       4.99978900e+06       0.00000000e+00       1.38000000e+02
      4.64158883e+04       0.00000000e+00       1.00000000e+00       2.00855369e+01       6.64718437e-01       8.03046719e-01       5.00011800e+06       4.99965500e+06       0.00000000e+00       2.27000000e+02
      1.21152766e+05       0.00000000e+00       1.00000000e+00       2.00855369e+01       7.50151347e-01       4.13454546e-01       5.00009100e+06       4.99973300e+06       0.00000000e+00       1.76000000e+02
      3.16227766e+05       0.00000000e+00       1.00000000e+00       2.00855369e+01       8.25634759e-01       2.26765864e-01       5.00005600e+06       4.99983900e+06       0.00000000e+00       1.05000000e+02
      8.25404185e+05       0.00000000e+00       1.00000000e+00       2.00855369e+01       8.93362976e-01       1.42060664e-01       5.00004800e+06       4.99985800e+06       0.00000000e+00       9.40000000e+01
      2.15443469e+06       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.44379772e-01       1.04289833e-01       5.00004000e+06       4.99987600e+06       0.00000000e+00       8.40000000e+01
      5.62341325e+06       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.74708714e-01       8.79859545e-02       5.00003800e+06       4.99988600e+06       0.00000000e+00       7.60000000e+01
      1.46779927e+07       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.89508541e-01       8.11993627e-02       5.00003100e+06       4.99991000e+06       0.00000000e+00       5.90000000e+01
      3.83118685e+07       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.95847889e-01       7.85036619e-02       5.00002600e+06       4.99992000e+06       0.00000000e+00       5.40000000e+01
      1.00000000e+08       0.00000000e+00       1.00000000e+00       2.00855369e+01       9.98384600e-01       7.73929457e-02       5.00002400e+06       4.99992700e+06       0.00000000e+00       4.90000000e+01
