#         KA                   KB                  KdiffA               KdiffB               Kdes                  eAA                  eBB                  eAB                 krxn                theta_A              theta_B                 t                  NadsA                NadsB                NdesA                NdesB                NdiffA               NdiffB               Nrxn  
      1.00000000e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       4.04954981e-06       9.79612698e-01       6.10406533e+03       4.83000000e+02       4.95370000e+04       4.45000000e+02       4.94970000e+04       0.00000000e+00       0.00000000e+00       3.80000000e+01
      1.58489319e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       7.30511515e-06       9.79666347e-01       6.09177445e+03       8.18000000e+02       4.92130000e+04       7.60000000e+02       4.91510000e+04       0.00000000e+00       0.00000000e+00       5.80000000e+01
      2.51188643e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       1.14853174e-05       9.79500188e-01       5.96033244e+03       1.19500000e+03       4.88490000e+04       1.10400000e+03       4.87610000e+04       0.00000000e+00       0.00000000e+00       9.10000000e+01
      3.98107171e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       1.63783238e-05       9.79604163e-01       5.94605744e+03       1.88400000e+03       4.81930000e+04       1.73500000e+03       4.80390000e+04       0.00000000e+00       0.00000000e+00       1.49000000e+02
      6.30957344e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       2.82830807e-05       9.79341348e-01       5.72638182e+03       2.96700000e+03       4.71530000e+04       2.73000000e+03       4.69120000e+04       0.00000000e+00       0.00000000e+00       2.38000000e+02
      1.00000000e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       4.36261648e-05       9.79339066e-01       5.54500649e+03       4.54600000e+03       4.56450000e+04       4.16600000e+03       4.52630000e+04       0.00000000e+00       0.00000000e+00       3.80000000e+02
      1.58489319e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       6.95716595e-05       9.79479374e-01       5.26545099e+03       6.79100000e+03       4.34630000e+04       6.27800000e+03       4.29550000e+04       0.00000000e+00       0.00000000e+00       5.13000000e+02
      2.51188643e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       1.13943379e-04       9.79204495e-01       4.85089019e+03       1.01550000e+04       4.02490000e+04       9.34800000e+03       3.94410000e+04       0.00000000e+00       0.00000000e+00       8.07000000e+02
      3.98107171e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       2.00823556e-04       9.78252583e-01       4.23266159e+03       1.45570000e+04       3.60560000e+04       1.33250000e+04       3.48310000e+04       0.00000000e+00       0.00000000e+00       1.23100000e+03
      6.30957344e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       3.33596336e-04       9.77789941e-01       3.54694800e+03       1.95040000e+04       3.12920000e+04       1.79150000e+04       2.97000000e+04       0.00000000e+00       0.00000000e+00       1.58900000e+03
      1.00000000e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       6.26465462e-04       9.76391124e-01       2.77150895e+03       2.56650000e+04       2.54530000e+04       2.34260000e+04       2.32170000e+04       0.00000000e+00       0.00000000e+00       2.23900000e+03
      1.58489319e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.86505077e-01       2.85773478e-04       3.71945980e+03       3.11590000e+04       1.96320000e+04       2.95760000e+04       1.80450000e+04       0.00000000e+00       0.00000000e+00       1.58800000e+03
      2.51188643e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.91917344e-01       1.57802914e-04       4.50602414e+03       3.61220000e+04       1.44160000e+04       3.50460000e+04       1.33440000e+04       0.00000000e+00       0.00000000e+00       1.07200000e+03
      3.98107171e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.95075963e-01       8.95796790e-05       5.23066408e+03       4.02340000e+04       1.01170000e+04       3.95320000e+04       9.40900000e+03       0.00000000e+00       0.00000000e+00       7.08000000e+02
      6.30957344e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.96959508e-01       5.36316116e-05       5.75715210e+03       4.33030000e+04       6.92300000e+03       4.28510000e+04       6.46900000e+03       0.00000000e+00       0.00000000e+00       4.54000000e+02
      1.00000000e+01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.98097661e-01       3.36116106e-05       6.12652785e+03       4.56410000e+04       4.53200000e+03       4.52960000e+04       4.18700000e+03       0.00000000e+00       0.00000000e+00       3.44000000e+02
      1.58489319e+01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.98813399e-01       1.98962889e-05       6.37296427e+03       4.71180000e+04       2.97600000e+03       4.69300000e+04       2.78700000e+03       0.00000000e+00       0.00000000e+00       1.89000000e+02
      2.51188643e+01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.99246588e-01       1.28793292e-05       6.45205353e+03       4.81780000e+04       1.88800000e+03       4.80460000e+04       1.75600000e+03       0.00000000e+00       0.00000000e+00       1.32000000e+02
      3.98107171e+01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.99531579e-01       7.89487129e-06       6.65864764e+03       4.88150000e+04       1.23200000e+03       4.87210000e+04       1.13900000e+03       0.00000000e+00       0.00000000e+00       9.30000000e+01
      6.30957344e+01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.99704158e-01       5.00467302e-06       6.72822431e+03       4.92400000e+04       7.89000000e+02       4.91820000e+04       7.32000000e+02       0.00000000e+00       0.00000000e+00       5.70000000e+01
      1.00000000e+02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.99812331e-01       3.44859009e-06       6.74332483e+03       4.95200000e+04       4.99000000e+02       4.94820000e+04       4.60000000e+02       0.00000000e+00       0.00000000e+00       3.90000000e+01
