#         KA                   KB                  KdiffA               KdiffB               Kdes                  eAA                  eBB                  eAB                 krxn                theta_A              theta_B                 t                  NadsA                NadsB                NdesA                NdesB                NdiffA               NdiffB               Nrxn  
      1.00000000e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       4.44880923e-06       9.76895067e-01       2.58271752e+03       2.20000000e+02       2.42110000e+04       2.00000000e+02       2.41930000e+04       2.62000000e+02       5.08940000e+04       2.00000000e+01
      1.58489319e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       8.90538984e-06       9.76046117e-01       2.48524073e+03       4.04000000e+02       2.36920000e+04       3.71000000e+02       2.36540000e+04       6.19000000e+02       5.12270000e+04       3.30000000e+01
      2.51188643e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       1.43506601e-05       9.76386125e-01       2.49526022e+03       6.08000000e+02       2.36530000e+04       5.65000000e+02       2.36120000e+04       1.01600000e+03       5.05030000e+04       4.30000000e+01
      3.98107171e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       2.03839329e-05       9.76231557e-01       2.43466596e+03       8.78000000e+02       2.31540000e+04       8.10000000e+02       2.30880000e+04       1.25700000e+03       5.07450000e+04       6.80000000e+01
      6.30957344e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       3.52977798e-05       9.76190949e-01       2.41903395e+03       1.46400000e+03       2.28160000e+04       1.35000000e+03       2.27020000e+04       2.38000000e+03       4.91740000e+04       1.14000000e+02
      1.00000000e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       5.50362903e-05       9.75719956e-01       2.30555795e+03       2.20300000e+03       2.18890000e+04       2.04300000e+03       2.17190000e+04       3.57600000e+03       4.84100000e+04       1.60000000e+02
      1.58489319e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.28205114e-05       9.75757793e-01       2.19221414e+03       3.38200000e+03       2.11350000e+04       3.09400000e+03       2.08520000e+04       6.05700000e+03       4.51920000e+04       2.88000000e+02
      2.51188643e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       1.45983960e-04       9.75223358e-01       2.00004242e+03       4.99200000e+03       1.96400000e+04       4.59500000e+03       1.92440000e+04       8.63200000e+03       4.25010000e+04       3.96000000e+02
      3.98107171e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       2.30401783e-04       9.75292566e-01       1.81122122e+03       7.04300000e+03       1.78870000e+04       6.47400000e+03       1.73190000e+04       1.21080000e+04       3.85990000e+04       5.70000000e+02
      6.30957344e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       3.98729450e-04       9.74560308e-01       1.51173472e+03       9.52800000e+03       1.53700000e+04       8.69600000e+03       1.45460000e+04       1.82970000e+04       3.27300000e+04       8.33000000e+02
      1.00000000e+00       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       6.96750763e-04       9.73067714e-01       1.16000671e+03       1.21500000e+04       1.23090000e+04       1.10850000e+04       1.12370000e+04       2.53880000e+04       2.67660000e+04       1.06500000e+03
      1.58489319e+00       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.84884835e-01       3.23907199e-04       2.01175932e+03       1.87420000e+04       1.18550000e+04       1.78160000e+04       1.09350000e+04       2.51650000e+04       1.45670000e+04       9.20000000e+02
      2.51188643e+00       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.91129969e-01       1.73714713e-04       2.94159952e+03       2.58160000e+04       1.03190000e+04       2.50620000e+04       9.56800000e+03       2.11990000e+04       7.28500000e+03       7.51000000e+02
      3.98107171e+00       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.94754115e-01       9.67702500e-05       3.92177145e+03       3.22060000e+04       8.02500000e+03       3.16330000e+04       7.44600000e+03       1.64740000e+04       3.63800000e+03       5.78000000e+02
      6.30957344e+00       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.96805299e-01       5.69442674e-05       4.70163024e+03       3.74730000e+04       5.85000000e+03       3.70450000e+04       5.42000000e+03       1.20530000e+04       1.72900000e+03       4.30000000e+02
      1.00000000e+01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.98040243e-01       3.39527133e-05       5.35795521e+03       4.15510000e+04       4.05100000e+03       4.12680000e+04       3.76700000e+03       8.34600000e+03       7.33000000e+02       2.84000000e+02
      1.58489319e+01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.98780043e-01       1.98718595e-05       5.85119060e+03       4.44070000e+04       2.75600000e+03       4.42130000e+04       2.56300000e+03       5.62300000e+03       2.45000000e+02       1.93000000e+02
      2.51188643e+01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.99245065e-01       1.33334050e-05       6.19569747e+03       4.63690000e+04       1.86400000e+03       4.62290000e+04       1.72400000e+03       3.59700000e+03       7.70000000e+01       1.40000000e+02
      3.98107171e+01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.99526229e-01       8.37952832e-06       6.40220660e+03       4.76160000e+04       1.23500000e+03       4.75340000e+04       1.15300000e+03       2.34800000e+03       3.20000000e+01       8.20000000e+01
      6.30957344e+01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.99702413e-01       4.83112513e-06       6.60433549e+03       4.84660000e+04       7.55000000e+02       4.84160000e+04       7.07000000e+02       1.57900000e+03       2.90000000e+01       4.80000000e+01
      1.00000000e+02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00      -1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00000000e+00       9.99813790e-01       3.24248434e-06       6.67135987e+03       4.90200000e+04       5.05000000e+02       4.89890000e+04       4.73000000e+02       9.77000000e+02       4.00000000e+00       3.20000000e+01
