#         KA                   KB                  KdiffA               KdiffB               Kdes                  eAA                  eBB                  eAB                 krxn                theta_A              theta_B                 t                  NadsA                NadsB                NdesA                NdesB                NdiffA               NdiffB               Nrxn  
      1.00000000e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       3.53798346e-03       2.74801031e-01       1.71765509e+02       4.81000000e+02       4.97050000e+04       1.01000000e+02       4.93340000e+04       0.00000000e+00       0.00000000e+00       3.79000000e+02
      1.58489319e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       6.22400814e-03       2.75007272e-01       1.71753804e+02       7.70000000e+02       4.95340000e+04       1.68000000e+02       4.89250000e+04       0.00000000e+00       0.00000000e+00       6.03000000e+02
      2.51188643e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.00474566e-02       2.75224768e-01       1.70554077e+02       1.24400000e+03       4.92550000e+04       2.46000000e+02       4.82500000e+04       0.00000000e+00       0.00000000e+00       1.00500000e+03
      3.98107171e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.46346097e-02       2.74821779e-01       1.70498089e+02       1.91700000e+03       4.88330000e+04       4.20000000e+02       4.73390000e+04       0.00000000e+00       0.00000000e+00       1.49100000e+03
      6.30957344e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       2.40215717e-02       2.73360139e-01       1.70726478e+02       2.98500000e+03       4.81550000e+04       7.09000000e+02       4.58720000e+04       0.00000000e+00       0.00000000e+00       2.27900000e+03
      1.00000000e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       3.59648082e-02       2.71546123e-01       1.70387311e+02       4.59800000e+03       4.71160000e+04       1.16700000e+03       4.36870000e+04       0.00000000e+00       0.00000000e+00       3.43200000e+03
      1.58489319e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       5.41779965e-02       2.67801547e-01       1.69371711e+02       7.18800000e+03       4.53870000e+04       2.03900000e+03       4.02300000e+04       0.00000000e+00       0.00000000e+00       5.15600000e+03
      2.51188643e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       8.34039196e-02       2.62524487e-01       1.64889048e+02       1.09350000e+04       4.28670000e+04       3.33400000e+03       3.52760000e+04       0.00000000e+00       0.00000000e+00       7.58800000e+03
      3.98107171e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.20641365e-01       2.55832020e-01       1.57207759e+02       1.56770000e+04       3.93270000e+04       5.65600000e+03       2.93160000e+04       0.00000000e+00       0.00000000e+00       1.00240000e+04
      6.30957344e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.69985495e-01       2.43376482e-01       1.46501766e+02       2.18690000e+04       3.43620000e+04       9.41200000e+03       2.19020000e+04       0.00000000e+00       0.00000000e+00       1.24550000e+04
      1.00000000e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       2.27930741e-01       2.27428687e-01       1.29971304e+02       2.84680000e+04       2.83820000e+04       1.47660000e+04       1.46820000e+04       0.00000000e+00       0.00000000e+00       1.37020000e+04
      1.58489319e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       2.89719676e-01       2.06703377e-01       1.08545494e+02       3.46700000e+04       2.20630000e+04       2.12030000e+04       8.60300000e+03       0.00000000e+00       0.00000000e+00       1.34610000e+04
      2.51188643e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       3.53018124e-01       1.83351448e-01       8.55062140e+01       3.97900000e+04       1.60540000e+04       2.81000000e+04       4.36800000e+03       0.00000000e+00       0.00000000e+00       1.16880000e+04
      3.98107171e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       4.12168218e-01       1.58355901e-01       6.36187328e+01       4.35400000e+04       1.09460000e+04       3.45580000e+04       1.97700000e+03       0.00000000e+00       0.00000000e+00       8.97900000e+03
      6.30957344e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       4.70468893e-01       1.35343263e-01       4.59771683e+01       4.59760000e+04       7.26400000e+03       3.94920000e+04       7.75000000e+02       0.00000000e+00       0.00000000e+00       6.49300000e+03
