#         KA                   KB                  KdiffA               KdiffB               Kdes                  eAA                  eBB                  eAB                 krxn                theta_A              theta_B                 t                  NadsA                NadsB                NdesA                NdesB                NdiffA               NdiffB               Nrxn  
      1.00000000e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       4.35135164e-02       2.99532570e-01       1.88540092e+03       4.95800000e+03       4.95053000e+05       4.94200000e+03       4.95047000e+05       0.00000000e+00       0.00000000e+00       0.00000000e+00
      2.15443469e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       9.72033589e-02       3.29155903e-01       2.13045258e+03       1.05310000e+04       4.89465000e+05       1.05260000e+04       4.89478000e+05       0.00000000e+00       0.00000000e+00       0.00000000e+00
      4.64158883e-02       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       2.59129285e-01       4.20493496e-01       3.73122894e+03       2.20860000e+04       4.77940000e+05       2.20520000e+04       4.77922000e+05       0.00000000e+00       0.00000000e+00       0.00000000e+00
      1.00000000e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       3.97771377e-01       4.74054485e-01       8.86809894e+03       4.52700000e+04       4.54733000e+05       4.52620000e+04       4.54735000e+05       0.00000000e+00       0.00000000e+00       0.00000000e+00
      2.15443469e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       4.52263377e-01       4.85109306e-01       1.64349959e+04       8.87120000e+04       4.11293000e+05       8.87060000e+04       4.11289000e+05       0.00000000e+00       0.00000000e+00       0.00000000e+00
      4.64158883e-01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       4.77677051e-01       4.88454279e-01       2.52604033e+04       1.58657000e+05       3.41341000e+05       1.58661000e+05       3.41341000e+05       0.00000000e+00       0.00000000e+00       0.00000000e+00
      1.00000000e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       4.89645355e-01       4.89723031e-01       3.03298574e+04       2.49267000e+05       2.50736000e+05       2.49265000e+05       2.50732000e+05       0.00000000e+00       0.00000000e+00       0.00000000e+00
      2.15443469e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       4.95498522e-01       4.90129244e-01       2.75821380e+04       3.41303000e+05       1.58698000e+05       3.41302000e+05       1.58697000e+05       0.00000000e+00       0.00000000e+00       0.00000000e+00
      4.64158883e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       4.98539006e-01       4.90031335e-01       1.93648541e+04       4.11308000e+05       8.86930000e+04       4.11307000e+05       8.86920000e+04       0.00000000e+00       0.00000000e+00       0.00000000e+00
      1.00000000e+01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       5.00622474e-01       4.89143922e-01       1.11032876e+04       4.54732000e+05       4.52670000e+04       4.54732000e+05       4.52690000e+04       0.00000000e+00       0.00000000e+00       0.00000000e+00
      2.15443469e+01       1.00000000e+00       0.00000000e+00       0.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       0.00000000e+00       5.03083399e-01       4.87344238e-01       5.77958132e+03       4.77913000e+05       2.20870000e+04       4.77912000e+05       2.20880000e+04       0.00000000e+00       0.00000000e+00       0.00000000e+00
