#         KA                   KB                  KdiffA               KdiffB               Kdes                  eAA                  eBB                  eAB                 krxn                theta_A              theta_B                 t                  NadsA                NadsB                NdesA                NdesB                NdiffA               NdiffB               Nrxn  
      1.00000000e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       3.09797035e-03       2.76857427e-01       1.26187815e+01       3.30000000e+01       3.61500000e+03       4.00000000e+00       3.58400000e+03       1.00000000e+02       9.26320000e+04       3.20000000e+01
      1.58489319e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       6.09964636e-03       2.75360712e-01       1.29077657e+01       6.90000000e+01       3.71000000e+03       7.00000000e+00       3.65500000e+03       2.08000000e+02       9.22900000e+04       6.10000000e+01
      2.51188643e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       7.67183602e-03       2.78054271e-01       1.27213170e+01       9.70000000e+01       3.73800000e+03       1.00000000e+01       3.64900000e+03       2.55000000e+02       9.21680000e+04       8.30000000e+01
      3.98107171e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.26514402e-02       2.73046801e-01       1.35015986e+01       1.40000000e+02       3.82800000e+03       1.30000000e+01       3.69300000e+03       4.88000000e+02       9.17120000e+04       1.26000000e+02
      6.30957344e-02       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.88102565e-02       2.72364397e-01       1.39143753e+01       2.34000000e+02       3.92000000e+03       2.50000000e+01       3.69600000e+03       7.18000000e+02       9.11950000e+04       2.12000000e+02
      1.00000000e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       3.01079310e-02       2.80029662e-01       1.41631888e+01       3.88000000e+02       3.88400000e+03       3.20000000e+01       3.50600000e+03       1.23000000e+03       9.06000000e+04       3.60000000e+02
      1.58489319e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       4.39610563e-02       2.80817645e-01       1.51886355e+01       6.50000000e+02       4.18700000e+03       7.40000000e+01       3.61400000e+03       1.80500000e+03       8.91050000e+04       5.65000000e+02
      2.51188643e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       6.73407554e-02       2.76524251e-01       1.74308567e+01       1.10800000e+03       4.57000000e+03       1.34000000e+02       3.59500000e+03       3.65500000e+03       8.59710000e+04       9.67000000e+02
      3.98107171e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.04280410e-01       2.71429543e-01       2.05812655e+01       2.00300000e+03       5.08000000e+03       2.60000000e+02       3.34000000e+03       7.79400000e+03       7.97950000e+04       1.72800000e+03
      6.30957344e-01       1.00000000e+00       1.00000000e+01       1.00000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00      -1.00000000e+00       1.00000000e+00       1.59206416e-01       2.64031668e-01       2.49892213e+01       3.60000000e+03       5.85300000e+03       6.95000000e+02       2.93900000e+03       1.69020000e+04       6.71040000e+04       2.90700000e+03
